customer_id,first_name,last_name,email,signup_date,country,segment
1,First1,Last1,customer1@example.com,2024-10-16,US,new
2,First2,Last2,customer2@example.com,2023-10-09,UK,active
3,First3,Last3,customer3@example.com,2023-05-23,US,new
4,First4,Last4,customer4@example.com,2024-08-27,IN,new
5,First5,Last5,customer5@example.com,2023-01-31,US,active
6,First6,Last6,customer6@example.com,2023-08-27,FR,new
7,First7,Last7,customer7@example.com,2024-07-28,UK,vip
8,First8,Last8,customer8@example.com,2023-08-14,IN,churn_risk
9,First9,Last9,customer9@example.com,2023-01-07,UK,vip
10,First10,Last10,customer10@example.com,2023-12-15,DE,active
11,First11,Last11,customer11@example.com,2023-08-09,DE,new
12,First12,Last12,customer12@example.com,2023-04-05,IN,new
13,First13,Last13,customer13@example.com,2024-01-03,DE,churn_risk
14,First14,Last14,customer14@example.com,2023-02-14,IN,new
15,First15,Last15,customer15@example.com,2024-01-23,US,churn_risk
16,First16,Last16,customer16@example.com,2024-10-05,FR,churn_risk
17,First17,Last17,customer17@example.com,2024-08-14,UK,new
18,First18,Last18,customer18@example.com,2023-02-16,UK,churn_risk
19,First19,Last19,customer19@example.com,2023-03-23,UK,new
20,First20,Last20,customer20@example.com,2024-01-25,DE,vip
21,First21,Last21,customer21@example.com,2024-10-12,DE,active
22,First22,Last22,customer22@example.com,2024-01-15,DE,active
23,First23,Last23,customer23@example.com,2024-11-17,DE,new
24,First24,Last24,customer24@example.com,2024-09-15,UK,active
25,First25,Last25,customer25@example.com,2023-06-17,IN,vip
26,First26,Last26,customer26@example.com,2023-10-04,FR,active
27,First27,Last27,customer27@example.com,2024-12-02,DE,new
28,First28,Last28,customer28@example.com,2023-08-23,US,churn_risk
29,First29,Last29,customer29@example.com,2024-02-15,DE,new
30,First30,Last30,customer30@example.com,2023-08-05,FR,churn_risk
31,First31,Last31,customer31@example.com,2023-08-06,IN,vip
32,First32,Last32,customer32@example.com,2024-10-20,IN,active
33,First33,Last33,customer33@example.com,2023-09-29,UK,active
34,First34,Last34,customer34@example.com,2024-07-28,FR,churn_risk
35,First35,Last35,customer35@example.com,2024-08-21,IN,vip
36,First36,Last36,customer36@example.com,2024-01-06,UK,active
37,First37,Last37,customer37@example.com,2024-06-05,IN,new
38,First38,Last38,customer38@example.com,2023-02-18,US,active
39,First39,Last39,customer39@example.com,2024-10-04,UK,vip
40,First40,Last40,customer40@example.com,2024-09-02,US,vip
41,First41,Last41,customer41@example.com,2024-01-26,FR,vip
42,First42,Last42,customer42@example.com,2024-06-25,DE,new
43,First43,Last43,customer43@example.com,2024-11-27,US,churn_risk
44,First44,Last44,customer44@example.com,2024-10-18,DE,new
45,First45,Last45,customer45@example.com,2023-10-28,IN,active
46,First46,Last46,customer46@example.com,2024-04-09,US,churn_risk
47,First47,Last47,customer47@example.com,2024-05-27,UK,new
48,First48,Last48,customer48@example.com,2024-10-02,DE,active
49,First49,Last49,customer49@example.com,2023-06-06,DE,active
50,First50,Last50,customer50@example.com,2024-07-06,FR,new
51,First51,Last51,customer51@example.com,2024-09-05,DE,vip
52,First52,Last52,customer52@example.com,2023-01-20,US,churn_risk
53,First53,Last53,customer53@example.com,2023-11-11,UK,new
54,First54,Last54,customer54@example.com,2023-09-04,FR,new
55,First55,Last55,customer55@example.com,2023-03-29,IN,new
56,First56,Last56,customer56@example.com,2024-06-29,UK,active
57,First57,Last57,customer57@example.com,2024-11-06,IN,active
58,First58,Last58,customer58@example.com,2023-09-29,FR,vip
59,First59,Last59,customer59@example.com,2023-08-05,FR,active
60,First60,Last60,customer60@example.com,2024-12-31,DE,vip
61,First61,Last61,customer61@example.com,2024-11-18,DE,vip
62,First62,Last62,customer62@example.com,2024-06-13,IN,new
